Len,Source,Category,CTCode,Value
54,"SODIUM CARBOXYMETHYLCELLULOSE, INTERNALLY CROSS LINKED",c,M28OL1HH48,CROSCARMELLOSE SODIUM
54,N-TRIS\(HYDROXYMETHYL\)METHYL-2-AMINOETHANESULFONIC ACID,c,L173DK6289,N-TRIS\(HYDROXYMETHYL\)METHYL-2-AMINOETHANESULFONIC ACID
54,METHACRYLIC ACID - METHYL METHACRYLATE COPOLYMER \(1:1\),c,74G4R6TH13,METHACRYLIC ACID - METHYL METHACRYLATE COPOLYMER \(1:1\)
54,METHACRYLIC ACID - METHYL METHACRYLATE COPOLYMER \(1:2\),c,5KY68S2577,METHACRYLIC ACID - METHYL METHACRYLATE COPOLYMER \(1:2\)
54,N-TRIS\(HYDROXYMETHYL\)METHYL-2-AMINOETHANESULFONIC ACID,c,L173DK6289,N-TRIS\(HYDROXYMETHYL\)METHYL-2-AMINOETHANESULFONIC ACID
53,d-alpha-tocopheryl polyethylene glycol 1000 succinate \(TPGS\),c,O03S90U1F2,VITAMIN E POLYETHYLENE GLYCOL SUCCINATE
53,d-alpha-tocopheryl polyethylene glycol 1000 succinate,c,O03S90U1F2,VITAMIN E POLYETHYLENE GLYCOL SUCCINATE
52,ETHYLENE-VINYL ACETATE COPOLYMER \(28% VINYL ACETATE\),c,8ILA5X28VS,ETHYLENE-VINYL ACETATE COPOLYMER \(28% VINYL ACETATE\)
52,"LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE, UNSPECIFIED",c,2165RE0K14,"LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE, UNSPECIFIED"
51,MODIFIED CORN STARCH \(1-OCTENYL SUCCINIC ANHYDRIDE\),c,461P5CJN6T,MODIFIED CORN STARCH \(1-OCTENYL SUCCINIC ANHYDRIDE\)
51,"POLY\(DL-LACTIC-CO-GLYCOLIC ACID\), \(50:50; 12000 MW\)",c,WE369X5600,"POLY\(DL-LACTIC-CO-GLYCOLIC ACID\), \(50:50; 12000 MW\)"
49,D-\?-TOCOPHEROL POLYETHYLENE GLYCOL 1000 SUCCINATE,c,O03S90U1F2,TOCOPHERSOLAN
49,2-\(4-STYRYL-3-SULFOPHENOL\)-6-METHOXYBENZOTRIAZOLE,c,0MMD46SPU6,2-\(4-STYRYL-3-SULFOPHENOL\)-6-METHOXYBENZOTRIAZOLE
49,HYPROMELLOSE ACETATE SUCCINATE 06081224 \(3 MM2/S\),c,6N003M473W,HYPROMELLOSE ACETATE SUCCINATE 06081224 \(3 MM2/S\)
49,d-a-tocopheryl polyethylene glycol 1000 succinate \(TPGS\),c,O03S90U1F2,VITAMIN E POLYETHYLENE GLYCOL SUCCINATE
49,d-a-tocopheryl polyethylene glycol 1000 succinate,c,O03S90U1F2,VITAMIN E POLYETHYLENE GLYCOL SUCCINATE
46,"HYPROMELLOSE PHTHALATE \(24% PHTHALATE, 55 CST\)",c,87Y6436BKR,"HYPROMELLOSE PHTHALATE \(24% PHTHALATE, 55 CST\)"
46,"HYPROMELLOSE PHTHALATE \(31% PHTHALATE, 40 CST\)",c,G4U024CQK6,"HYPROMELLOSE PHTHALATE \(31% PHTHALATE, 40 CST\)"
45,"SODIUM PHOSPHATE, MONOBASIC, UNSPECIFIED FORM",c,3980JIH2SW,"SODIUM PHOSPHATE, MONOBASIC, UNSPECIFIED FORM"
43,HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID,c,RWW266YE9I,HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID
43,"1,2-DIMYRISTOYL-SN-GLYCERO-3-PHOSPHOCHOLINE",c,52QK2NZ2T0,"1,2-DIMYRISTOYL-SN-GLYCERO-3-PHOSPHOCHOLINE"
43,HYDROLYZED SOY PROTEIN \(ENZYMATIC; 2000 MW\),c,1394NXB9L6,HYDROLYZED SOY PROTEIN \(ENZYMATIC; 2000 MW\)
43,"SODIUM PHOSPHATE, DIBASIC, UNSPECIFIED FORM",c,GR686LBA74,"SODIUM PHOSPHATE, DIBASIC, UNSPECIFIED FORM"
43,HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID,c,RWW266YE9I,HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID
42,3-\(CYCLOHEXYLAMINO\)-1-PROPANESULFONIC ACID,c,4W981O1LXP,3-\(CYCLOHEXYLAMINO\)PROPANESULFONIC ACID
42,"CARBOXYMETHYLCELLULOSE SODIUM, UNSPECIFIED",c,K679OBS311,"CARBOXYMETHYLCELLULOSE SODIUM, UNSPECIFIED"
