"STUDYID","DOMAIN","USUBJID","BWSEQ","BWTESTCD","BWTEST","BWORRES","BWORRESU","BWSTRESC","BWSTRESN","BWSTRESU","BWSTAT","BWREASND","BWBLFL","BWFAST","BWEXCLFL","BWREASEX","VISITDY","BWDTC","BWDY"
"GLP003","BW","107001425",32,"TERMBW","Terminal Body Weight","350.5","g","350.5",350.5,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:33:11",29
"GLP003","BW","107001440",33,"TERMBW","Terminal Body Weight","423.0","g","423.0",423,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:33:17",29
"GLP003","BW","107001419",34,"TERMBW","Terminal Body Weight","410.9","g","410.9",410.9,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:33:24",29
"GLP003","BW","107001437",35,"TERMBW","Terminal Body Weight","377.5","g","377.5",377.5,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:33:35",29
"GLP003","BW","107001415",36,"TERMBW","Terminal Body Weight","374.7","g","374.7",374.7,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:40:28",30
"GLP003","BW","107001368",37,"TERMBW","Terminal Body Weight",NA,NA,NA,NA,NA,"NOT DONE","Animal aggressive, could not handle",NA,NA,NA,NA,6,"2007-06-17T10:37:16",6
"GLP003","BW","107001455",38,"TERMBW","Terminal Body Weight","440.8","g","440.8",440.8,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:40:39",30
"GLP003","BW","107001470",39,"TERMBW","Terminal Body Weight","396.7","g","396.7",396.7,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:41:50",30
"GLP003","BW","107001456",40,"TERMBW","Terminal Body Weight","366.8","g","366.8",366.8,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:41:58",30
"GLP003","BW","107001351",41,"TERMBW","Terminal Body Weight","395.4","g","395.4",395.4,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:55:49",43
"GLP003","BW","107001382",42,"TERMBW","Terminal Body Weight","441.9","g","441.9",441.9,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:56:00",43
"GLP003","BW","107001362",43,"TERMBW","Terminal Body Weight","403.0","g","403.0",403,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:56:08",43
"GLP003","BW","107001363",44,"TERMBW","Terminal Body Weight","443.6","g","443.6",443.6,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:56:14",43
"GLP003","BW","107001473",45,"TERMBW","Terminal Body Weight","366.4","g","366.4",366.4,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:56:27",43
"GLP003","BW","107001525",46,"TERMBW","Terminal Body Weight","223.4","g","223.4",223.4,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:00:05",29
"GLP003","BW","107001541",47,"TERMBW","Terminal Body Weight","245.1","g","245.1",245.1,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:00:11",29
"GLP003","BW","107001579",48,"TERMBW","Terminal Body Weight","238.2","g","238.2",238.2,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:00:15",29
"GLP003","BW","107001534",49,"TERMBW","Terminal Body Weight","232.4","g","232.4",232.4,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:00:23",29
"GLP003","BW","107001629",50,"TERMBW","Terminal Body Weight",NA,NA,NA,NA,NA,"NOT DONE","Animal aggressive, could not handle",NA,NA,NA,NA,8,"2007-06-21T09:21:28",8
"GLP003","BW","107001511",51,"TERMBW","Terminal Body Weight","215.9","g","215.9",215.9,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:00:28",29
"GLP003","BW","107001620",52,"TERMBW","Terminal Body Weight","209.4","g","209.4",209.4,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:34:49",30
"GLP003","BW","107001641",53,"TERMBW","Terminal Body Weight","238.6","g","238.6",238.6,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:35:01",30
"GLP003","BW","107001602",54,"TERMBW","Terminal Body Weight","222.1","g","222.1",222.1,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:35:06",30
"GLP003","BW","107001513",55,"TERMBW","Terminal Body Weight","219.2","g","219.2",219.2,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:35:11",30
"GLP003","BW","107001556",56,"TERMBW","Terminal Body Weight","223.8","g","223.8",223.8,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:39:44",43
"GLP003","BW","107001561",57,"TERMBW","Terminal Body Weight","231.2","g","231.2",231.2,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:39:50",43
"GLP003","BW","107001559",58,"TERMBW","Terminal Body Weight","239.5","g","239.5",239.5,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:40:03",43
"GLP003","BW","107001609",59,"TERMBW","Terminal Body Weight","254.0","g","254.0",254,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:40:10",43
"GLP003","BW","107001563",60,"TERMBW","Terminal Body Weight","227.9","g","227.9",227.9,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:40:16",43
"GLP003","BW","107001441",61,"TERMBW","Terminal Body Weight","355.3","g","355.3",355.3,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:33:44",29
"GLP003","BW","107001488",62,"TERMBW","Terminal Body Weight","377.4","g","377.4",377.4,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:33:52",29
