"STUDYID","DOMAIN","USUBJID","SESEQ","ETCD","ELEMENT","SESTDTC","SEENDTC","SEUPDES"
"GLP003","SE","107001473",286,"C_2","0 mg/kg/day Negative Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001525",287,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001541",288,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001579",289,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001534",290,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001629",291,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001511",292,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001620",293,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001641",294,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001602",295,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001513",296,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001556",297,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001561",298,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001559",299,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001609",300,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001563",301,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001441",302,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001488",303,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001431",304,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001394",305,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001480",306,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001411",307,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001433",308,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001375",309,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001381",310,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001416",311,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001386",312,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001379",313,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001432",314,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001478",315,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001491",316,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001570",317,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
