"STUDYID","DOMAIN","USUBJID","BGSEQ","BGTESTCD","BGTEST","BGORRES","BGORRESU","BGSTRESC","BGSTRESN","BGSTRESU","BGSTAT","BGREASND","BGEXCLFL","BGREASEX","BGDTC","BGENDTC","BGDY","BGENDY","BGELTM","BGTPTREF","BGRFTDTC"
"GLP003","BG","107001581",30,"BWGAIN","Body Weight Gain","6.0","g","6.0",6,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001469",31,"BWGAIN","Body Weight Gain","27.0","g","27.0",27,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001425",32,"BWGAIN","Body Weight Gain","18.0","g","18.0",18,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001440",33,"BWGAIN","Body Weight Gain","33.0","g","33.0",33,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001419",34,"BWGAIN","Body Weight Gain","29.0","g","29.0",29,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001437",35,"BWGAIN","Body Weight Gain","31.0","g","31.0",31,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001415",36,"BWGAIN","Body Weight Gain","18.0","g","18.0",18,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001368",37,"BWGAIN","Body Weight Gain","23.0","g","23.0",23,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001455",38,"BWGAIN","Body Weight Gain","36.0","g","36.0",36,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001470",39,"BWGAIN","Body Weight Gain","20.0","g","20.0",20,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001456",40,"BWGAIN","Body Weight Gain","26.0","g","26.0",26,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001351",41,"BWGAIN","Body Weight Gain","17.0","g","17.0",17,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001382",42,"BWGAIN","Body Weight Gain","33.0","g","33.0",33,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
