"LBTEST","LBTESTCD","LBSPEC","SPECIES","SEX","LBSTRESU","LBSTRESM","LBSTRESSD","N"
"Albumin/Globulin","ALBGLOB","SERUM","MONKEY","F","RATIO",1.43615187133542,0.233093553613347,869
"Albumin/Globulin","ALBGLOB","SERUM","MONKEY","M","RATIO",1.49491722639933,0.228316996301358,950
"Albumin/Globulin","ALBGLOB","SERUM","MOUSE","F","RATIO",2.04631460674157,0.722307918846599,445
"Albumin/Globulin","ALBGLOB","SERUM","MOUSE","M","RATIO",1.59784511784512,0.456469776932366,594
"Albumin/Globulin","ALBGLOB","SERUM","PIG","F","RATIO",2.8375,0.954281796630039,54
"Albumin/Globulin","ALBGLOB","SERUM","PIG","M","RATIO",3.66098765432099,1.77285537958111,54
"Albumin/Globulin","ALBGLOB","SERUM","RABBIT","F","RATIO",3.09785714285714,1.01758390488663,42
"Albumin/Globulin","ALBGLOB","SERUM","RABBIT","M","RATIO",3.4180303030303,0.988626817197968,66
"Albumin/Globulin","ALBGLOB","SERUM","RAT","F","RATIO",1.97923589983618,0.980386365104795,4273
"Albumin/Globulin","ALBGLOB","SERUM","RAT","M","no units",2.2,0.285773803324704,13
"Albumin/Globulin","ALBGLOB","SERUM","RAT","M","RATIO",1.67551884700665,0.57259323611793,4510
"Albumin/Globulin","ALBGLOB","URINE","RAT","M","RATIO",2.05,0.191833260932509,40
"Albumin/Globulin","ALBGLOB","WHOLE BLOOD","DOG","F","RATIO",1.26666666666667,0.065133894727893,12
"Albumin/Globulin","ALBGLOB","WHOLE BLOOD","DOG","M","RATIO",1.23333333333333,0.119341628287971,12
"Albumin/Globulin","ALBGLOB","WHOLE BLOOD","MOUSE","F","RATIO",1.54166666666667,0.105980583400786,24
"Albumin/Globulin","ALBGLOB","WHOLE BLOOD","MOUSE","M","RATIO",1.24666666666667,0.138298361456704,30
"Albumin/Globulin","ALBGLOB","WHOLE BLOOD","RAT","F","RATIO",1.83333333333333,0.101671424951583,90
"Albumin/Globulin","ALBGLOB","WHOLE BLOOD","RAT","M","RATIO",1.86769230769231,0.182563734061925,130
"Alkaline Phosphatase","ALP","PLASMA","DOG","F","IU/L",206.41935483871,86.9451494279508,62
"Alkaline Phosphatase","ALP","PLASMA","DOG","F","U/L",89.8800000000001,44.8698869985123,25
"Alkaline Phosphatase","ALP","PLASMA","DOG","M","IU/L",77.2083333333333,7.55277726696898,16
"Alkaline Phosphatase","ALP","PLASMA","DOG","M","U/L",81.26,44.2604829076935,25
"Alkaline Phosphatase","ALP","PLASMA","MONKEY","F","IU/L",464.977272727273,163.871346433164,11
"Alkaline Phosphatase","ALP","PLASMA","MONKEY","F","U/L",572.75119047619,292.17956589224,30
"Alkaline Phosphatase","ALP","PLASMA","MONKEY","M","IU/L",621,154.054311102386,14
"Alkaline Phosphatase","ALP","PLASMA","MONKEY","M","U/L",907.013888888889,427.445120989274,30
"Alkaline Phosphatase","ALP","PLASMA","MOUSE","F","IU/L",217.196721311475,93.1576588942045,122
"Alkaline Phosphatase","ALP","PLASMA","MOUSE","M","IU/L",68.4137931034483,28.7917612736939,29
"Alkaline Phosphatase","ALP","PLASMA","MOUSE","M","ukat/L",1.07243666666667,0.227060705876074,18
"Alkaline Phosphatase","ALP","PLASMA","RABBIT","F","U/L",150.538461538462,87.6376207122407,13
"Alkaline Phosphatase","ALP","PLASMA","RABBIT","M","U/L",142.576923076923,63.940025985895,13
"Alkaline Phosphatase","ALP","PLASMA","RAT","F","g/L",54.6,18.1119972516684,10
